rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,naive,35.34,35.62,0.27,1.359,石榴,78,1.0,,,,0.0,0.852,,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,naive,35.68,36.01,0.32,1.335,香蕉,323,1.0,,,,0.582,0.125,,,1,1,,,,2,"[{""name"": ""香蕉"", ""share"": 0.632, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.368, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,naive,39.06,39.33,0.27,1.667,石榴,78,1.0,,,,0.009,0.442,,,1,1,,,,2,"[{""name"": ""石榴"", ""share"": 0.991, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.009, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,naive,39.67,40.14,0.47,1.663,苹果,300,1.0,,,,0.172,0.24,,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.853, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.147, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,naive,40.26,41.14,0.88,1.65,苹果,300,1.0,,,,0.155,0.26,,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.866, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.134, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,naive,41.26,44.47,3.22,1.662,苹果,300,1.0,,,,0.106,0.289,,,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.904, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.096, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,naive,44.58,45.97,1.39,1.657,苹果,300,1.0,,,,0.292,0.193,,,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.774, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.226, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,naive,46.03,46.46,0.44,1.615,香蕉,323,1.0,,,,0.445,0.265,,,1,1,1,苹果,0,2,"[{""name"": ""香蕉"", ""share"": 0.692, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.308, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,naive,46.52,47.29,0.77,1.649,苹果,300,1.0,,,,0.314,0.216,,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.761, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.239, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,naive,47.81,50.73,2.92,1.413,球M,321,1.0,,,,0.0,0.262,,,1,1,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,naive,50.89,51.23,0.34,1.456,球M,321,1.0,,,,0.0,0.449,,,1,1,2,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,naive,51.28,54.3,3.02,1.385,球M,321,1.0,,,,0.0,0.283,,,1,1,2,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,naive,54.5,54.95,0.45,1.59,石榴,78,1.0,,,,0.083,0.517,,,1,1,,,,2,"[{""name"": ""石榴"", ""share"": 0.923, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.077, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,naive,55.08,57.54,2.46,1.63,石榴,78,1.0,,,,0.009,0.558,,,1,1,3,石榴,1,2,"[{""name"": ""石榴"", ""share"": 0.991, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.009, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,naive,57.64,60.9,3.26,1.649,石榴,78,1.0,,,,0.021,0.542,,,1,1,3,石榴,1,2,"[{""name"": ""石榴"", ""share"": 0.979, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.021, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,naive,61.48,64.42,2.94,1.51,香蕉,323,1.0,,,,0.033,0.115,,,1,1,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.94, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.031, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.029, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,naive,64.47,65.15,0.68,1.535,香蕉,323,1.0,,,,0.071,0.108,,,1,1,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.924, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.066, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.01, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,naive,65.88,66.82,0.94,1.491,香蕉,323,1.0,,,,0.055,0.083,,,1,1,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.913, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.05, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.037, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,naive,66.87,67.15,0.27,1.54,香蕉,323,1.0,,,,0.267,0.839,,,1,1,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.789, ""labels"": [323]}, {""name"": ""球M"", ""share"": 0.211, ""labels"": [321]}, {""name"": ""苹果"", ""share"": 0.0, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,naive,67.2,68.03,0.83,1.577,香蕉,323,1.0,,,,0.072,0.21,,,1,1,,,,3,"[{""name"": ""香蕉"", ""share"": 0.932, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.067, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.001, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,naive,68.59,69.54,0.95,1.423,球L,320,1.0,,,,0.285,0.147,,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.778, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.222, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,naive,70.45,70.95,0.5,2.689,background,0,0.684,,,,0.462,0.523,,,0,0,5,球R,0,2,"[{""name"": ""floor"", ""share"": 0.684, ""labels"": [0]}, {""name"": ""球R"", ""share"": 0.316, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,naive,71.0,73.51,2.51,1.48,球R,322,1.0,,,,0.001,0.663,,,1,1,5,球R,1,2,"[{""name"": ""球R"", ""share"": 0.999, ""labels"": [322]}, {""name"": ""石榴"", ""share"": 0.001, ""labels"": [78]}]"
